,cafeterias,restaurantes,padarias,delivery,driveThru
59,,,,,"Atacadista em Fortaleza, Ceará"
60,,,,,"Loja de materiais de construção em Fortaleza, Ceará"
61,,,,,"Perfumaria em Fortaleza, Ceará"
62,,,,,"Loja de malas e bolsas em Fortaleza, Ceará"
63,,,,,"Armarinho em Fortaleza, Ceará"
64,,,,,"Loja de artigos para fotografia em Fortaleza, Ceará"
65,,,,,"Serviço de distribuição em Fortaleza, Ceará"
66,,,,,"Loja de tapetes em Fortaleza, Ceará"
67,,,,,"Loja de materiais elétricos em Fortaleza, Ceará"
68,,,,,"Loja de tecidos em Fortaleza, Ceará"
69,,,,,"Ótica em Fortaleza, Ceará"
70,,,,,"Prefeitura em Fortaleza, Ceará"
71,,,,,"Loja de suprimentos para animais de estimação em Fortaleza, Ceará"
72,,,,,"Assistente social em Fortaleza, Ceará"
73,,,,,"Clínica oftalmológica em Fortaleza, Ceará"
74,,,,,"Loja de móveis em Fortaleza, Ceará"
75,,,,,"Loja de variedades em Fortaleza, Ceará"
76,,,,,"Loja de artigos de couro em Fortaleza, Ceará"
77,,,,,"Loja para bebê em Fortaleza, Ceará"
78,,,,,"Loja de acessórios de moda em Fortaleza, Ceará"
79,,,,,"Loja de instrumentos musicais em Fortaleza, Ceará"
80,,,,,"Fornecedor de produtos de borracha em Fortaleza, Ceará"
81,,,,,"Loja de artigos religiosos em Fortaleza, Ceará"
82,,,,,"Loja em Fortaleza, Ceará"
83,,,,,"Loja de molduras em Fortaleza, Ceará"
84,,,,,"Depósito em Fortaleza, Ceará"
85,,,,,"Loja de máquinas de costura em Fortaleza, Ceará"
86,,,,,Casa de chá
87,,,,,"Loja de produtos odontológicos em Fortaleza, Ceará"
88,,,,,Loja de vitaminas e suplementos
89,,,,,"Loja de moda infantil em Fortaleza, Ceará"
90,,,,,"Loja de bordados em Fortaleza, Ceará"
91,,,,,"Loja de móveis para escritório em Fortaleza, Ceará"
92,,,,,"Loja infantil em Fortaleza, Ceará"
93,,,,,"Loja de tintas em Fortaleza, Ceará"
94,,,,,"Loja de artigos domésticos em Fortaleza, Ceará"
95,,,,,"Loja de autopeças em Fortaleza, Ceará"
96,,,,,"Joalheria especializada em itens personalizados em Fortaleza, Ceará"
97,,,,,"Mercado em Fortaleza, Ceará"
98,,,,,"Clube em Fortaleza, Ceará"
99,,,,,"Atração turística em Fortaleza, Ceará"
100,,,,,"Agência de turismo em Fortaleza, Ceará"
101,,,,,"Loja de presentes em Fortaleza, Ceará"
102,,,,,"Loja de iluminação em Fortaleza, Ceará"
103,,,,,"Clínica especializada em Fortaleza, Ceará"
104,,,,,"Hospital público em Fortaleza, Ceará"
105,,,,,"Pronto atendimento em Fortaleza, Ceará"
106,,,,,"Hospital infantil em Fortaleza, Ceará"
